Area_of_Origin;Business_Impact;Civilian_Casualties;Count_of_Persons_Rescued;Estimated_Dollar_Loss;Estimated_Number_Of_Persons_Displaced;Ext_agent_app_or_defer_time;Extent_Of_Fire;Fire_Alarm_System_Impact_on_Evacuation;Fire_Alarm_System_Operation;Fire_Alarm_System_Presence;Fire_Under_Control_Time;Ignition_Source;Incident_Station_Area;Incident_Ward;Last_TFS_Unit_Clear_Time;Latitude;Longitude;Material_First_Ignited;Method_Of_Fire_Control;Possible_Cause;Property_Use;Smoke_Alarm_at_Fire_Origin_Alarm_Failure;Smoke_Alarm_at_Fire_Origin_Alarm_Type;Status_of_Fire_On_Arrival;TFS_Alarm_Time;TFS_Arrival_Time
Laundry Area;Not applicable (not a business);0;7;10000;4;2018-05-11T07:14:22;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2018-05-11T07:19:12;Clothes Dryer;426;9;2018-05-11T07:54:51;43,65274332;-79,43672202;Other;Extinguished by fire department;Electrical Failure;Semi-Detached Dwelling;No battery;Battery operated;Fire with no evidence from street;2018-05-11T07:06:07;2018-05-11T07:09:39
Roof;Undetermined;0;7;2500000;0;2019-05-06T17:14:21;Spread to other floors, confined to building;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2019-05-06T21:59:50;Blow Torch, Bunsen Burner;323;14;2019-05-07T11:34:43;43,67687527;-79,33887214;Exterior Roof Covering;Extinguished by fire department;Used or Placed too close to combustibles;School - Technical, Industrial Trade;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2019-05-06T16:57:50;2019-05-06T17:02:34
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);No business interruption;0;7;220000;4;2015-04-25T14:36:12;Spread beyond room of origin, same floor;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2015-04-25T14:41:12;Undetermined;141;8;2015-04-25T19:28:34;43,76046;-79,50978;Mattress, Pillow;Extinguished by fire department;Undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Flames showing from small area (one storey or less, part of a vehicle, outdoor);2015-04-25T14:16:22;2015-04-25T14:20:18
Hallway, Corridor;No business interruption;15;6;1000000;50;2016-02-05T15:30:00;Spread beyond room of origin, same floor;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2016-02-05T15:45:00;Undetermined;213;42;2016-02-06T08:58:09;43,80654;-79,21865;Upholstered Sofa, Chair, etc.;Extinguished by fire department;Undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with smoke showing only - including vehicle, outdoor fires;2016-02-05T15:03:38;2016-02-05T15:08:01
Undetermined  (formerly 98);Not applicable (not a business);1;6;80000;7;2015-05-17T00:27:53;Spread to other floors, confined to building;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2015-05-17T00:33:56;Undetermined;423;18;2015-05-17T08:59:40;43,66512;-79,45416;Other;Extinguished by fire department;Undetermined;Semi-Detached Dwelling;Reason for inoperation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire with no evidence from street;2015-05-17T00:19:56;2015-05-17T00:23:47
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);6;6;100000;30;2015-04-01T16:03:40;Spread to entire room of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2015-04-01T16:06:04;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;426;14;2015-04-01T17:49:55;43,64084;-79,43541;Upholstered Sofa, Chair, etc.;Extinguished by fire department;Improperly Discarded;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2015-04-01T15:56:22;2015-04-01T15:58:48
Living Area (e.g. living, TV, recreation, etc);Undetermined;5;6;50000;1;2013-04-20T11:53:00;Spread to entire room of origin;Undetermined;Fire alarm system operated;Fire alarm system present;2013-04-20T11:56:00;Undetermined;431;5;2013-04-20T16:04:58;43,6347;-79,49279;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2013-04-20T11:39:17;2013-04-20T11:43:38
Electrical Systems;May resume operations within a week;0;5;0;150;2013-01-28T11:38:16;Confined to object of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2013-01-28T12:54:12;Transformer;311;22;2013-01-28T14:17:35;43,68694;-79,39987;Undetermined (formerly 98);Extinguished by fire department;Electrical Failure;General Business Office;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2013-01-28T11:04:23;2013-01-28T11:09:15
Storage Area (outside);Undetermined;0;5;400000;6;2015-10-03T07:08:01;Spread beyond building of origin, resulted in exposure fire(s);Not applicable: Occupant(s) first alerted by other means;Not applicable (no system);No Fire alarm system;2015-10-03T09:45:54;Vehicle - Electrical;344;20;2015-10-03T16:45:25;43,67078;-79,42123;Other Building Component;Extinguished by fire department;Electrical Failure;Detached Dwelling;Reason for inoperation undetermined;Not applicable - no smoke alarm or presence undetermined;Flames showing from large area (more than one storey, large area outdoors);2015-10-03T06:59:43;2015-10-03T07:04:24
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Undetermined;0;5;250000;30;2013-01-25T05:38:22;Spread beyond room of origin, same floor;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2013-01-25T06:03:00;Undetermined;225;36;2013-01-25T15:15:34;43,68776;-79,27092;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2013-01-25T05:31:54;2013-01-25T05:37:52
Cooking Area or Kitchen;Not applicable (not a business);6;5;50000;6;2015-03-28T05:57:58;Spread to other floors, confined to building;Not applicable: Occupant(s) first alerted by other means;Fire alarm system did not operate;Fire alarm system present;2015-03-28T06:30:00;Undetermined;234;43;2015-03-28T14:21:04;43,76201;-79,19474;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Multi-Unit Dwelling - Over 12 Units;Reason for inoperation undetermined;Type undetermined;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2015-03-28T05:50:30;2015-03-28T05:55:39
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);Undetermined;0;4;40000;4;2015-01-07T12:56:54;Confined to part of room/area of origin;All persons (at risk of injury) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2015-01-07T12:57:54;Matches or Lighters (unable to distinguish);426;14;2015-01-07T16:20:46;43,63666;-79,4386;Other Soft Goods, Wearing Apparel;Extinguished by fire department;Children Playing (Ages 11 and under);Multi-Unit Dwelling - Over 12 Units;Reason for inoperation undetermined;Battery operated;Fire with no evidence from street;2015-01-07T12:43:39;2015-01-07T12:48:11
Basement/cellar (not partitioned);Not applicable (not a business);0;4;15600;3;2011-01-13T01:34:58;Confined to part of room/area of origin;No one (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2011-01-13T01:34:58;Space Heater - Fixed;413;1;2011-01-13T02:30:38;43,73463;-79,55784;Multiple Objects or Materials;Action taken unclassified;Improper Storage;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire extinguished prior to arrival;2011-01-13T01:28:21;2011-01-13T01:34:54
Court, Patio, Terrace;Not applicable (not a business);4;4;500;0;2012-06-30T23:34:00;Confined to part of room/area of origin;Not applicable: Occupant(s) first alerted by other means;Not applicable (no system);Undetermined;2012-06-30T23:34:00;Other Open Flame Tools/Smokers' Articles;322;29;2012-07-01T00:38:13;43,68799;-79,32957;Alcohol (methanol);Extinguished by occupant;Improper handling of ignition source or ignited material;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire extinguished prior to arrival;2012-06-30T23:27:34;2012-06-30T23:32:57
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);0;4;10000;1;2017-03-26T02:45:36;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2017-03-26T02:58:38;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;313;28;2017-03-26T03:55:00;43,66966;-79,37579;Undetermined (formerly 98);Extinguished by fire department;Improper handling of ignition source or ignited material;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with no evidence from street;2017-03-26T02:31:58;2017-03-26T02:36:19
Cooking Area or Kitchen;No business interruption;0;4;5000;0;2017-07-19T09:36:57;Confined to part of room/area of origin;Not applicable: Occupant(s) first alerted by other means;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2017-07-19T09:36:57;Stove, Range-top burner;113;33;2017-07-19T09:54:18;43,79172;-79,3402;Cooking Oil, Grease;Extinguished by occupant;Other unintentional cause, not classified;Semi-Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire extinguished prior to arrival;2017-07-19T09:25:22;2017-07-19T09:32:15
Undetermined  (formerly 98);Not applicable (not a business);0;4;100000;7;2015-11-18T05:44:23;Spread beyond room of origin, same floor;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2015-11-18T07:00:00;Undetermined;426;18;2015-11-18T20:14:24;43,65101;-79,44;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2015-11-18T05:34:36;2015-11-18T05:38:33
Living Area (e.g. living, TV, recreation, etc);Undetermined;4;4;100000;2;2014-03-07T03:16:20;Spread beyond room of origin, same floor;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2014-03-07T03:41:30;Undetermined;345;18;2014-03-07T14:20:30;43,6697;-79,43276;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Multi-Unit Dwelling - 2 to 6 Units;Not applicable: Alarm operated OR presence/operation undetermined;Not applicable - no smoke alarm or presence undetermined;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2014-03-07T03:09:22;2014-03-07T03:15:03
Lobby, Entranceway;Undetermined;0;4;12000;0;2011-04-05T08:26:00;Spread to entire room of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2011-04-05T08:35:00;Space Heater - Portable;341;17;2011-04-05T12:50:45;43,69436;-79,45623;Other Soft Goods, Wearing Apparel;Extinguished by fire department;Used or Placed too close to combustibles;Multi-Unit Dwelling - 2 to 6 Units;Other reason;Not applicable - no smoke alarm or presence undetermined;Fire with no evidence from street;2011-04-05T08:15:53;2011-04-05T08:22:05
Living Area (e.g. living, TV, recreation, etc);No business interruption;2;4;150000;50;2011-07-07T12:04:00;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2011-07-07T12:05:20;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;411;7;2011-07-07T15:17:52;43,75065;-79,54908;Upholstered Sofa, Chair, etc.;Extinguished by fire department;Improper handling of ignition source or ignited material;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with smoke showing only - including vehicle, outdoor fires;2011-07-07T11:48:20;2011-07-07T11:54:48
Cooking Area or Kitchen;Not applicable (not a business);2;4;250000;10;2013-10-08T07:53:00;Spread to other floors, confined to building;Not applicable: Occupant(s) first alerted by other means;Fire alarm system did not operate;No Fire alarm system;2013-10-08T08:03:36;Stove, Range-top burner;426;18;2013-10-08T16:47:04;43,65025;-79,43008;Cabinetry;Extinguished by fire department;Undetermined;Rooming/Boarding/Lodging House;Other reason;Type undetermined;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2013-10-08T07:46:57;2013-10-08T07:51:16
Cooking Area or Kitchen;Not applicable (not a business);0;4;20000;8;2016-06-07T08:47:58;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Not applicable (bldg not classified by OBC OR detached/semi/town home);2016-06-07T08:50:10;Stove, Range-top burner;412;1;2016-06-07T10:49:24;43,7331;-79,60583;Cooking Oil, Grease;Extinguished by fire department;Other unintentional cause, not classified;Bank;Dead battery;Battery operated;Fire with smoke showing only - including vehicle, outdoor fires;2016-06-07T08:37:12;2016-06-07T08:42:02
Cooking Area or Kitchen;No business interruption;4;4;3000;3;2012-08-14T16:22:46;Confined to part of room/area of origin;Undetermined;Fire alarm system did not operate;Fire alarm system present;2012-08-14T16:22:46;Stove, Range-top burner;146;9;2012-08-14T17:05:33;43,72587;-79,48548;Cooking Oil, Grease;Extinguished by occupant;Unattended;Multi-Unit Dwelling - Over 12 Units;Reason for inoperation undetermined;Interconnected;Fire extinguished prior to arrival;2012-08-14T16:16:16;2012-08-14T16:20:56
Trash, Rubbish Storage (inc garbage chute room, garbage/industri;No business interruption;0;3;0;0;2018-05-04T18:45:00;Confined to object of origin;No one (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2018-05-04T18:40:00;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;231;24;2018-05-04T19:28:53;43,76057348;-79,2156827;Rubbish, Trash, Waste;Extinguished by fire department;Improperly Discarded;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with no evidence from street;2018-05-04T18:29:21;2018-05-04T18:31:03
Porch or Balcony;May resume operations within a week;0;3;200000;9;2012-06-26T18:57:10;Spread to other floors, confined to building;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-06-26T19:35:00;Undetermined;225;35;2012-06-27T01:31:32;43,69324;-79,28724;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2012-06-26T18:43:41;2012-06-26T18:48:06
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);No business interruption;3;3;100000;10;2015-04-19T23:55:34;Spread beyond room of origin, same floor;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2015-04-20T00:03:00;Candle;142;7;2015-04-20T06:22:52;43,74915;-79,51568;Cabinetry;Extinguished by fire department;Unattended;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Flames showing from small area (one storey or less, part of a vehicle, outdoor);2015-04-19T23:39:41;2015-04-19T23:43:34
Other Outside Area;Not applicable (not a business);5;3;300000;7;2012-11-06T01:13:56;Undetermined;Undetermined;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2012-11-06T01:35:03;Undetermined;245;37;2012-11-06T14:21:14;43,75523;-79,28434;Vehicle;Extinguished by fire department;Undetermined;Detached Dwelling;Remote from fire – smoke did not reach alarm;Type undetermined;Fully involved (total structure, vehicle, spreading outdoor fire);2012-11-06T01:05:27;2012-11-06T01:12:22
Undetermined  (formerly 98);May not resume operations;0;3;1500000;997;2013-07-13T05:07:00;Spread beyond building of origin, resulted in exposure fire(s);Undetermined;Fire alarm system operation undetermined;Undetermined;2013-07-13T08:08:00;Undetermined;324;30;2013-07-20T10:49:25;43,66549;-79,35262;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Apartment, Flat, Tenement with Business;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Flames showing from large area (more than one storey, large area outdoors);2013-07-13T04:59:24;2013-07-13T05:03:42
Living Area (e.g. living, TV, recreation, etc);Not applicable (not a business);3;3;100000;3;2017-12-04T21:45:44;Spread to entire room of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2017-12-04T21:53:55;Undetermined;132;15;2017-12-05T08:36:54;43,71949;-79,44391;Upholstered Sofa, Chair, etc.;Fire self extinguished;Undetermined;Multi-Unit Dwelling - Over 12 Units;Reason for inoperation undetermined;Battery operated;Fire with no evidence from street;2017-12-04T21:36:47;2017-12-04T21:41:47
Sleeping Area or Bedroom (inc. patients room, dormitory, etc);No business interruption;0;3;5000;1;2011-08-03T04:10:00;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2011-08-03T04:15:02;Smoker's Articles (eg. cigarettes, cigars, pipes already ignited;225;36;2011-08-03T05:43:15;43,69755;-79,25679;Bedding;Extinguished by fire department;Improperly Discarded;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with no evidence from street;2011-08-03T03:48:58;2011-08-03T03:54:47
Electrical Systems;May resume operations within a month;0;3;50000;0;2013-11-18T10:46:40;Confined to object of origin;Undetermined;Fire alarm system operated;Fire alarm system present;2013-11-18T10:44:00;Service/Utility Lines (includes power/hydro transmission lines);123;34;2013-11-18T11:35:55;43,76029;-79,3537;Electrical Wiring Insulation;Fire self extinguished;Design/Construction/Installation/Maintenance Deficiency;Restaurant (occupant load less than 30 persons);Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire extinguished prior to arrival;2013-11-18T10:38:52;2013-11-18T10:43:33
Hallway, Corridor;Undetermined;0;3;1500;0;2016-09-27T19:26:00;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2016-09-27T19:26:30;Undetermined;421;11;2016-09-27T21:05:23;43,6788;-79,48291;Rubbish, Trash, Waste;Extinguished by fire department;Improperly Discarded;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Interconnected;Fire with no evidence from street;2016-09-27T19:17:45;2016-09-27T19:21:48
Cooking Area or Kitchen;May resume operations within a month;0;3;35000;2;2012-07-19T06:30:00;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2012-07-19T06:33:00;Stove, Range-top burner;143;10;2012-07-19T07:19:33;43,76233;-79,45922;Cooking Oil, Grease;Extinguished by fire department;Unattended;Multi-Unit Dwelling - 2 to 6 Units;Other reason;Not applicable - no smoke alarm or presence undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2012-07-19T06:21:36;2012-07-19T06:27:50
Cooking Area or Kitchen;Not applicable (not a business);0;3;50000;3;2017-02-10T00:37:54;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);No Fire alarm system;2017-02-10T00:39:12;Other Cooking Items (eg Toaster, Kettle, elec frying pan);435;6;2017-02-10T01:48:32;43,59958;-79,52704;Multiple Objects or Materials;Extinguished by fire department;Mechanical Failure;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with no evidence from street;2017-02-10T00:26:35;2017-02-10T00:32:28
Cooking Area or Kitchen;No business interruption;0;3;3500;2;2012-10-08T01:34:00;Confined to part of room/area of origin;Some persons (at risk) evacuated as a result of hearing fire alarm system;Fire alarm system operated;Fire alarm system present;2012-10-08T01:34:16;Stove, Range-top burner;222;35;2012-10-08T02:37:43;43,70914;-79,27612;Cooking Oil, Grease;Extinguished by fire department;Improper handling of ignition source or ignited material;Multi-Unit Dwelling - Over 12 Units;Not applicable: Alarm operated OR presence/operation undetermined;Hardwired (standalone);Fire with smoke showing only - including vehicle, outdoor fires;2012-10-08T01:21:47;2012-10-08T01:27:18
Concealed Ceiling Area;Not applicable (not a business);3;3;100000;5;2014-03-07T23:00:00;Multi unit bldg: spread to separate suite(s);Some persons (at risk) evacuated as a result of hearing fire alarm system;Not applicable (no system);No Fire alarm system;2014-03-07T21:33:00;Other Electrical;442;11;2014-03-08T09:53:52;43,69681;-79,50889;Electrical Wiring Insulation;Extinguished by fire department;Electrical Failure;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Fire with no evidence from street;2014-03-07T21:24:29;2014-03-07T21:31:23
Undetermined  (formerly 98);Undetermined;4;3;450000;9;2016-01-26T11:40:00;Confined to part of room/area of origin;Undetermined;Fire alarm system operated;Fire alarm system present;2016-01-26T11:43:54;Undetermined;426;14;2016-01-26T15:34:45;43,63944;-79,4425;Undetermined (formerly 98);Extinguished by fire department;Undetermined;Semi-Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Type undetermined;Fire with smoke showing only - including vehicle, outdoor fires;2016-01-26T11:28:23;2016-01-26T11:32:54
Cooking Area or Kitchen;Not applicable (not a business);3;3;150000;3;2012-01-31T01:48:00;Confined to part of room/area of origin;Not applicable: No fire alarm system, no persons present;Not applicable (no system);Not applicable (bldg not classified by OBC OR detached/semi/town home);2012-01-31T01:50:15;Circuit Wiring - Copper;113;33;2012-01-31T03:54:12;43,7839;-79,35288;Cabinetry;Extinguished by fire department;Electrical Failure;Detached Dwelling;Not applicable: Alarm operated OR presence/operation undetermined;Battery operated;Flames showing from small area (one storey or less, part of a vehicle, outdoor);2012-01-31T01:37:55;2012-01-31T01:44:09
